Unnamed: 0,elbow,shoulder,hip,knee,elbow_std,shoulder_std,hip_std,knee_std,frame_number
1.0,179.32000000000002,5.306666666666666,172.10666666666665,155.24666666666667,,,,,1.0
4.0,170.15,4.336666666666667,166.14666666666668,138.33666666666667,5.839428102197198,1.9996900213517914,3.3282187911487364,9.50447693737547,4.0
7.0,167.65666666666667,26.16333333333333,156.44333333333336,126.63666666666667,4.779987728394905,10.689185166070933,4.904331355879475,8.783088716796632,7.0
10.0,173.54,28.663333333333338,170.09666666666666,149.72666666666666,3.2190230291387496,4.744737937691405,7.737550360343849,14.240281350724658,10.0
13.0,169.24,28.126666666666665,169.09,118.24333333333334,2.3998782162163312,0.28462011016908756,3.1194802730182016,15.791192370833402,13.0
16.0,168.02,24.973333333333333,168.43666666666664,86.88333333333333,2.229388104497596,1.4705562103964784,0.7501814640531594,18.825270619291334,16.0
19.0,165.78,22.64,145.16,121.44666666666667,2.515866600774632,1.5854219614979588,13.68184079926244,18.788578404573645,19.0
22.0,170.40333333333334,20.89,165.42999999999998,164.35333333333332,2.7448533359864142,1.8249854184067666,11.805249734348868,23.989036193083432,22.0
25.0,170.85,25.30666666666667,168.85,170.83666666666667,3.685373184527434,1.967675180596931,3.728556798586826,10.12498860553125,25.0
28.0,175.13,18.19333333333333,121.13,80.25333333333334,5.003560568044197,4.642215786290945,21.607868180453266,60.34144976775216,28.0
31.0,168.57666666666668,24.666666666666668,92.62,105.11666666666667,4.752564123546833,4.811410011637548,22.22978213666651,35.30216269465026,31.0
34.0,169.41666666666666,17.080000000000002,107.44,103.46333333333332,3.683952479576858,7.074383716765709,7.297737575191081,7.22626303413756,34.0
37.0,170.03666666666666,11.46,110.90333333333332,108.33999999999999,4.689170205187897,8.038166034502813,9.030301849917306,3.3528319226946954,37.0
40.0,172.61666666666667,11.36,119.92,99.70666666666666,3.5431644760662997,5.656750722487096,10.775469101436391,10.423263453947715,40.0
43.0,163.12333333333333,5.793333333333333,147.34666666666666,74.81333333333333,4.578234484270497,5.902501575305474,18.995642725569976,17.754868352328856,43.0
46.0,156.64666666666668,15.709999999999999,165.08333333333334,84.23,4.17862571142276,5.521048294185785,9.795200761653351,5.018726733288949,46.0
49.0,155.1833333333333,8.963333333333333,146.47333333333333,166.32,2.509815188751047,3.8328021167002846,9.666007468102867,43.19645383654851,49.0
52.0,147.15,4.083333333333333,155.24333333333334,170.61,4.871957660695085,4.5893802210451,7.534360241785801,14.25714232825421,52.0
55.0,123.16000000000001,23.94666666666667,162.86666666666667,166.1966666666667,12.1573181316831,9.682206008431995,6.061679708258701,7.37094210662318,55.0
58.0,114.70666666666666,36.27,168.96333333333334,167.15666666666667,6.2242147391213765,7.317470927640844,3.1981617443634267,4.350032909918887,58.0
61.0,142.75,49.31333333333333,168.74666666666667,165.59,12.633353524483352,7.795794226682584,1.592934501343106,2.0926911192878204,61.0
64.0,157.69,45.72,173.07000000000002,171.72333333333333,22.63230591659658,3.3107730585122055,2.7936601816202806,3.336140496932535,64.0
67.0,148.65666666666667,39.56,170.79666666666665,172.76999999999998,13.126320954148916,3.664347489408305,1.4797814017078321,1.7525196185541152,67.0
70.0,171.08666666666667,39.02333333333333,173.63333333333333,173.1833333333333,13.393395511485343,0.735205602740456,1.670690009632778,1.831912050569364,70.0
73.0,139.40666666666667,28.736666666666665,177.95666666666668,176.51999999999998,14.814166206024886,4.419671671851545,2.530692698873835,2.8453556377803566,73.0
76.0,132.10666666666665,17.026666666666667,172.57333333333335,179.17999999999998,21.143630497749673,9.75308007197547,3.1366519535962163,2.614536011078145,76.0
78.0,143.6,21.38,168.56,179.15,16.61085097157872,7.0779778185580655,4.377335947810683,0.5173200170073884,78.0
