Unnamed: 0,elbow,shoulder,hip,knee,elbow_std,shoulder_std,hip_std,knee_std
64,157.22,46.2,173.85,172.68,23.275304079646272,2.5858518905769707,3.1765594595404836,3.8624797734093828
65,143.59,42.13,171.73,172.54,16.091936490056096,3.8573656813945534,2.5442425198860263,3.367674271659395
66,137.61,40.24,170.51,171.53,15.96956887332901,4.026048931645072,1.459006511293191,1.6620258722404555
67,146.93,39.39,172.17,175.39,13.602193573096908,4.030963904576721,1.3862611586551405,1.9872015499180262
68,161.43,39.05,169.71,171.39,9.807200416020828,2.9360296320031223,1.5940765351751653,1.6083314335038643
69,168.54,38.72,171.56,171.2,12.896507279104634,1.3659538791629686,1.0033842733450393,1.7447206080047952
70,177.22,39.06,174.61,173.92,16.04652080670443,0.5804911713371218,1.8764381151522342,1.8747346478892968
71,167.5,39.29,174.73,174.43,11.23715844864697,0.2591717577212777,2.1322476404010606,1.8762808958140005
72,163.08,35.26,175.79,171.38,6.162927875612198,1.698184324506712,2.543363914188404,1.5741124483329105
73,146.67,32.72,179.35,179.88,11.25825563753098,2.9065271373239048,2.801288989018357,3.512082003597947
74,108.47,18.23,178.73,178.3,27.021315104931478,8.65430355372402,2.247425193414743,3.449872461410213
75,142.94,26.81,176.44,179.18,23.301988541753214,8.200790815525059,1.9650496176929637,3.614426648860999
76,115.15,7.52,171.39,179.66,22.832209047746517,11.352830924487517,3.1459179900301497,3.573681575070244
77,138.23,16.75,169.89,178.7,17.296693903749286,9.705618475913836,4.298988253065536,0.6554998093031917
78,143.6,21.38,168.56,179.15,16.61085097157872,7.0779778185580655,4.377335947810683,0.5173200170073884
